IRA / tax credits	kalshi-KX48ETAXCREDIT-26MAY	Section 48E ITC Reinstatement	regulatory_actions		0.51	Dec 31, 2029	2029-12-31	Near-zero volume (14 contracts) makes this Kalshi contract untradeable as a hedge; excluded from meaningful allocation despite the reinstatement risk being real.
BOEM/permitting	kalshi-KXCOPPERMON-26APR3017-T5.45	Copper Spot Price Threshold	trade_policy		0.585	Apr 30, 2026	2026-04-30	Elevated copper spot prices directly increase Hitachi Energy's winding wire procurement costs; this near-term price contract provides a short-duration hedge signal though liquidity is extremely thin.
BOEM/permitting	kalshi-KXCOPPERMON-26APR3017-T5.93	Copper Spot Price Threshold	trade_policy		0.66	Apr 30, 2026	2026-04-30	Elevated copper spot prices above $5.93/lb directly inflate Lincoln Electric's copper wire and rod procurement costs for welding consumables manufacturing.
BOEM/permitting	kalshi-KXCOPPERMON-26APR3017-T6.17	Copper Spot Price Threshold	trade_policy		0.48	Apr 30, 2026	2026-04-30	Copper prices above $6.17/lb confirm tariff-driven cost inflation is materializing in spot markets, serving as a real-time leading indicator of input cost pressure on Lincoln Electric's copper-intensive product lines.
BOEM/permitting	kalshi-KXCOPPERMON-26MAR3117-B5.90	Will the copper open price be between $5.87 and 5.92 at Mar 31, 2026 at 5pm EDT?	trade_policy		0.08	Mar 31, 2026	2026-03-31	Promoted real-market fallback to guarantee executable hedge coverage in Top Risks.
BOEM/permitting	kalshi-KXCOPPERMON-26MAR3117-B6.02	Copper Price Volatility	trade_policy		0.01	Mar 31, 2026	2026-03-31	Copper price spikes driven by tariff-induced supply disruptions would compound wire/cable cost inflation.
Jones Act / WTIV	kalshi-KXJONESACTREPEAL-27-JAN04	Jones Act Repeal January 2027	regulatory_actions		0.15	Jan 4, 2027	2027-01-04	Full Jones Act repeal would undermine the entire domestic commercial shipbuilding rationale for Philly Shipyard; too low probability (15%) and long-dated for core allocation.
BOEM/permitting	kalshi-KXSCOTUSAICOPYRIGHT-27JAN-AICOPYRIGHT	SCOTUS AI Copyright Cert	regulatory_actions		0.21	Jan 1, 2027	2027-01-01	SCOTUS granting cert on an AI copyright case would introduce appellate uncertainty that could dramatically expand or restrict training-data liability, threatening OpenAI's model development pipeline.
IRA / tax credits	library-02cb4117-8ff4-41b3-b431-68eefaac8cbc	ITC Recapture PFE Service Contracts	federal_legislation	IRS|Section 48E|ITC recapture|BESS|PFE	0.05	Dec 31, 2026	2026-12-31	If IRS fails to clarify that O&M contracts with PFE-linked suppliers do NOT trigger ITC recapture, Fluence customers face 100% recapture risk, freezing long-term service contract demand and Fluence's recurring revenue.
BOEM/permitting	library-033831b5-21ee-43cf-9723-4aa27f41be99	DMA Scope Expansion to Meta AI	regulatory_actions	DMA|Meta|AI regulation|WhatsApp|European Commission	0.25	Sep 29, 2026	2026-09-29	DMA scope expansion to Meta's AI services would layer new gatekeeper obligations onto WhatsApp's AI features, creating compounding compliance costs beyond the existing €200M fine.
BOEM/permitting	library-0465ce02-0736-4176-8f44-72fe3631d7ac	COPPA 2.0 Enactment	federal_legislation	COPPA|S-836|children privacy|online privacy|age verification	0.35	Dec 30, 2026	2026-12-30	Unified COPPA 2.0 legislation imposes age-gating requirements on restaurant loyalty programs serving minors, increasing compliance costs.
IRA / tax credits	library-0afa0f0f-26ba-43a2-ad28-e7b9deea06d4	120th Congress ITC/PTC Restoration	elections	midterms|tax credits|ITC|PTC|solar|wind|legislation	0.469	Sep 30, 2027	2027-09-30	120th Congress restoring Section 45Y/48E would revive 2028+ market, but 2026-2027 revenue losses are already locked in.
IRA / tax credits	library-0bf93773-7cf8-455a-9731-3a1eab5ab878	OBBBA 55% Domestic Content Guidance	federal_legislation	OBBBA|Domestic Content|IRA|Section 48E|Treasury	0.555	Sep 30, 2026	2026-09-30	If Treasury confirms the 55% domestic content threshold effective 2027 (YES), Nextpower's customers face a higher compliance bar that could reduce projects qualifying for the 10% bonus ITC, indirectly softening tracker demand.
IRA / tax credits	library-0e859825-59e2-4e27-b5d6-1058f1a6c07a	OBBBA Construction Deadline Extension	federal_legislation	OBBBA|Section 45Y|Section 48E|Wind|Solar	0.08	Sep 30, 2026	2026-09-30	Extension is highly unlikely (prob 0.08); NO position (no extension) is base case and does not generate hedging premium — the downside is already the base scenario captured in MACR/FEOC major contracts.
IRA / tax credits	library-0e859825-59e2-4e27-b5d6-1058f1e6c07a	Solar Construction Deadline Extension	federal_legislation	solar|wind|tax-credits|45Y|48E|deadline-extension|Congress	0.348	Sep 30, 2026	2026-09-30	Failure to extend July 4, 2026 construction deadline accelerates US renewable tax credit expiration, reducing US private sector co-investment appetite in GEAPP-supported emerging market projects.
IRA / tax credits	library-0f02b6a3-0521-4e3c-a095-b02436414373	Solar FEOC 40% Threshold Confirmation	regulatory_actions	FEOC|solar|Treasury|MACR|Section 48E	0.72	Dec 31, 2026	2026-12-31	Confirmation of the 40% non-PFE MACR for solar is a neutral-to-positive outcome for PEP; hedge value is low and duplicate with evt-10 entry.
BOEM/permitting	library-0f39d821-7b01-4ed1-97fb-b5a480e4e557	WEA Re-designation	regulatory_actions	BOEM|WEA|offshore wind|Trump|moratorium	0.208	Jan 5, 2027	2027-01-05	Failure to restore Wind Energy Areas blocks all future US offshore wind leasing through 2027, eliminating growth opportunities and devaluing existing leases.
IRA / tax credits	library-0f44b763-8499cc8f4-b452-4090-a0fd-f41f32d58a6c	Treasury Solar MACR Threshold	federal_legislation	FEOC|Clean Energy Tax Credits|Solar|Treasury Guidance|Section 45Y	0.15	Dec 31, 2026	2026-12-31	A stringent 40% Chinese-content ceiling in Treasury's MACR safe harbor would disqualify Southeast-Asian-assembled Astronergy modules from §45Y/48E credits, eroding TPI bankability.
Section 232 / steel	library-1031554d-c613-4f28-b2a5-03268b1c3010	Section 232 Tracker Steel Derivatives	regulatory_actions	Section 232|Solar|Steel|Tariffs|BIS	0.323	Oct 31, 2026	2026-10-31	Adding solar tracker torque tubes and driven piles to the 50% Section 232 derivatives list would directly raise Nextpower's domestic steel input costs by an estimated 10–15% of BOM, compressing margins across every U.S. project.
IRA / tax credits	library-10789e5f-9ae6-4f9c-a99f-0e048ae7f732	Wind/Solar Project Cancellation Wave	federal_legislation	OBBBA|IRA rollback|wind energy|solar cancellations|welding demand	0.12	Dec 31, 2026	2026-12-31	Material wind and solar project cancellations caused by OBBBA credit phase-outs would directly reduce welding consumable and fabrication demand from Lincoln Electric's power generation customer segment.
IRA / tax credits	library-10becaf8-e3f5-47d0-88b6-0511fa496dfb	Renewable Project Cancellation Wave	federal_legislation	IRA|Renewable Energy|Tax Credits|MISO|Transmission Interconnection	0.45	Dec 31, 2026	2026-12-31	Mass cancellation of wind and solar projects triggered by OBBBA credit phase-downs would collapse MISO interconnection queue demand, undermining the business case for ATC's $10B transmission build-out and stranding planned capital expenditures.
BOEM/permitting	library-13	Section 232 Derivatives Expansion Persistence	trade_policy	BIS-2025-0023|Section 232|steel derivatives|copper|trade policy	0.74	Dec 31, 2026	2026-12-31	Sustained BIS-2025-0023 derivative product expansion covering copper and steel HTS codes through year-end 2026 locks in elevated input costs for Cummins' engine and component manufacturing across multiple product lines.
IRA / tax credits	library-14	OBBBA Construction Deadline Cliff	macro_policy	IRA|OBBBA|Tax Credits|Solar|Wind|Safe Harbor	0.75	Jul 4, 2026	2026-07-04	Substantively identical to the major contract library-14-7ad152f6; duplicate allocation excluded.
